Edges;Full
45;33817
1770;3.32949e+06
5995;1.98604e+07
12720;6.09394e+07
21945;1.37879e+08
33670;2.60306e+08
47895;4.39343e+08
64620;6.8508e+08
83845;1.01105e+09
105570;1.43951e+09
129795;1.9789e+09
156520;2.61293e+09
185745;3.36993e+09
217470;4.30775e+09
251695;5.33411e+09
288420;6.53599e+09
327645;7.89803e+09
369370;9.38669e+09
413595;1.10856e+10
460320;1.30216e+10
509545;1.51568e+10
