Edges;Full
45;7666.6
1770;84708.2
5995;179833
12720;301050
21945;450700
33670;597600
47895;768642
64620;970442
83845;1.20897e+06
105570;1.46078e+06
129795;1.71485e+06
156520;1.98186e+06
185745;2.22803e+06
217470;2.56332e+06
251695;2.89447e+06
288420;3.22388e+06
327645;3.56283e+06
369370;3.96723e+06
413595;4.34982e+06
460320;4.81496e+06
509545;5.20309e+06
