Edges;Connected
25;16333.6
881;1.73924e+06
2974;1.014e+07
6303;3.07608e+07
10945;6.97552e+07
16795;1.31422e+08
24030;2.25452e+08
32214;3.45602e+08
41909;5.11989e+08
52551;7.15633e+08
65186;9.82894e+08
78548;1.29406e+09
92805;1.66137e+09
108905;2.10741e+09
126034;2.6325e+09
144419;3.22876e+09
163723;3.90411e+09
184366;4.69178e+09
206513;5.49678e+09
229656;6.44435e+09
254471;7.50017e+09
