Edges;Tree
9;5966.6
59;44274.6
109;102208
159;176783
209;270392
259;380616
309;513392
359;674108
409;836000
459;1.01876e+06
509;1.22402e+06
559;1.45247e+06
609;1.68704e+06
659;1.94092e+06
709;2.22788e+06
759;2.51875e+06
809;2.86383e+06
859;3.15944e+06
909;3.50007e+06
959;3.88406e+06
1009;4.25917e+06
