Edges;Tree
9;2150
59;15808.4
109;41325
159;80308.4
209;128100
259;190525
309;264925
359;360392
409;445208
459;555883
509;682108
559;806417
609;949950
659;1.1051e+06
709;1.27378e+06
759;1.45318e+06
809;1.64411e+06
859;1.85037e+06
909;2.06536e+06
959;2.29017e+06
1009;2.53139e+06
