Edges;Connected
29;19250.2
912;1.73201e+06
3023;1.02628e+07
6447;3.11238e+07
11047;6.978e+07
16966;1.32006e+08
23900;2.22826e+08
32138;3.48792e+08
41982;5.0862e+08
52658;7.15223e+08
65163;9.84323e+08
78505;1.30349e+09
92722;1.6809e+09
108732;2.11976e+09
126001;2.63505e+09
144680;3.23949e+09
164012;3.94958e+09
185206;4.81194e+09
207021;5.69651e+09
230541;6.55567e+09
254636;7.58022e+09
