Edges;Tree
9;8375
59;123933
109;396642
159;829216
209;1.43012e+06
259;2.20652e+06
309;3.06116e+06
359;4.23258e+06
409;5.3652e+06
459;6.68e+06
509;8.63913e+06
559;1.00082e+07
609;1.17829e+07
659;1.38239e+07
709;1.59422e+07
759;1.83347e+07
809;2.08228e+07
859;2.34119e+07
909;2.62037e+07
959;2.92209e+07
1009;3.21484e+07
