Edges;Full
45;23833.2
1770;3.32216e+06
5995;1.98577e+07
12720;6.0912e+07
21945;1.38289e+08
33670;2.5957e+08
47895;4.37693e+08
64620;6.84339e+08
83845;1.03438e+09
105570;1.45408e+09
129795;1.96252e+09
156520;2.58787e+09
185745;3.40971e+09
217470;4.25039e+09
251695;5.2528e+09
288420;6.46105e+09
327645;7.78389e+09
369370;9.33247e+09
413595;1.10053e+10
460320;1.29676e+10
509545;1.50701e+10
