Edges;Connected
23;5308.6
884;86408.4
3021;221900
6393;423500
11074;652050
16989;989592
24127;1.40061e+06
32405;1.75154e+06
41996;2.1652e+06
52995;2.62126e+06
65058;3.2596e+06
78387;3.88118e+06
92882;4.52872e+06
108741;5.22192e+06
125978;6.05063e+06
144384;7.11568e+06
164117;7.69433e+06
184878;8.46327e+06
206987;9.49209e+06
230412;1.0462e+07
254878;1.15238e+07
